date	close	
2013-07-28	8268
2013-07-29	14425
2013-07-30	9173
2013-07-31	9404
2013-08-01	5217
2013-08-02	4910
2013-08-03	2801
2013-08-04	5533
2013-08-05	12251
2013-08-06	9759
2013-08-07	9835
2013-08-08	9393
2013-08-09	10841
2013-08-10	6049
2013-08-11	5557
2013-08-12	11589
2013-08-13	9558
2013-08-14	9991
2013-08-15	10665
2013-08-16	9990
2013-08-17	5918
2013-08-18	11328
2013-08-19	12288
2013-08-20	10111
2013-08-21	9935
2013-08-22	10085
2013-08-23	10911
2013-08-24	5905
2013-08-25	10987
2013-08-26	12112
2013-08-27	10379
2013-08-28	9807
2013-08-29	12113
2013-08-30	11632
2013-08-31	5955
2013-09-01	6632
2013-09-02	10531
2013-09-03	15654
2013-09-04	9993
2013-09-05	9835
2013-09-06	9550
2013-09-07	5411
2013-09-08	11717
2013-09-09	13144
2013-09-10	10304
2013-09-11	9319
2013-09-12	10932
2013-09-13	13234
2013-09-14	4606
2013-09-15	11251
2013-09-16	12763
2013-09-17	10565
2013-09-18	10725
2013-09-19	12058
2013-09-20	12053
2013-09-21	5515
2013-09-22	12225
2013-09-23	12732
2013-09-24	9847
2013-09-25	10664
2013-09-26	12202
2013-09-27	11182
2013-09-28	5356
2013-09-29	12024
2013-09-30	13274
2013-10-01	10188
2013-10-02	10192
2013-10-03	11822
2013-10-04	11478
2013-10-05	5062
2013-10-06	11860
2013-10-07	11944
2013-10-08	11182
2013-10-09	10873
2013-10-10	12595
2013-10-11	12551
2013-10-12	6588
2013-10-13	10666
2013-10-14	13344
2013-10-15	12467
2013-10-16	11697
2013-10-17	12946
2013-10-18	12112
2013-10-19	5353
2013-10-20	11925
2013-10-21	13142
2013-10-22	10620
2013-10-23	11383
2013-10-24	13080
2013-10-25	11624
2013-10-26	5164
2013-10-27	11416
2013-10-28	12708
2013-10-29	9549
2013-10-30	9354
2013-10-31	10143
2013-11-01	11642
2013-11-02	5371
2013-11-03	10928
2013-11-04	12733
2013-11-05	11336
2013-11-06	11133
2013-11-07	13049
2013-11-08	13037
2013-11-09	5797
2013-11-10	10448
2013-11-11	13766
2013-11-12	11355
2013-11-13	10686
2013-11-14	12255
2013-11-15	11242
2013-11-16	4799
2013-11-17	9691
2013-11-18	13248
2013-11-19	10590
2013-11-20	11128
2013-11-21	11414
2013-11-22	10964
2013-11-23	4957
2013-11-24	8498
2013-11-25	8630
2013-11-26	8337
2013-11-27	7628
2013-11-28	4578
2013-11-29	6335
2013-11-30	10107
2013-12-01	15939
2013-12-02	17520
2013-12-03	13822
2013-12-04	12729
2013-12-05	11510
2013-12-06	13160
2013-12-07	5983
2013-12-08	10273
2013-12-09	14015
2013-12-10	10640
2013-12-11	12551
2013-12-12	13246
2013-12-13	12513
2013-12-14	4897
2013-12-15	10406
2013-12-16	11598
2013-12-17	8791
2013-12-18	10314
2013-12-19	9489
2013-12-20	8814
2013-12-21	5239
2013-12-22	5798
2013-12-23	6127
2013-12-24	4206
2013-12-25	5569
2013-12-26	10574
2013-12-27	11364
2013-12-28	9475
2013-12-29	12230
2013-12-30	12346
2013-12-31	7741
